,lat,long
11:05:09:00,44.434918,26.047606
11:05:10:60,44.43491799999931,26.047618594726657
11:05:11:60,44.43491799999862,26.047631189453316
11:05:12:40,44.43491799999792,26.047643784179975
11:05:13:20,44.434917999997225,26.047656378906634
11:05:14:10,44.43491799999653,26.047668973633293
11:05:17:50,44.43491799999584,26.047681568359952
11:05:20:00,44.43491799999566,26.04768786572328
11:05:21:10,44.434909006779606,26.04768786572328
11:05:21:95,44.43490001356355,26.04768786572328
11:05:22:70,44.434891020347486,26.04768786572328
11:05:23:45,44.43488202713143,26.04768786572328
11:05:24:25,44.43487303391537,26.04768786572328
11:05:25:10,44.43486404069931,26.04768786572328
11:05:25:90,44.434855047483246,26.04768786572328
11:05:26:95,44.43485504748256,26.04770046043637
11:05:27:90,44.43486404069863,26.04770046043637
11:05:28:75,44.43487303391468,26.04770046043637
11:05:29:60,44.43488202713073,26.04770046043637
11:05:30:40,44.43489102034679,26.04770046043637
11:05:31:25,44.43490001356284,26.04770046043637
11:05:32:12,44.4349090067789,26.04770046043637
11:05:32:52,44.43491350338692,26.04770046043637
11:05:33:32,44.434913503386234,26.04771305516206
11:05:34:22,44.43491350338554,26.04772564988775
11:05:35:00,44.43491350338485,26.047738244613438
11:05:35:80,44.434913503384145,26.047750839339127
11:05:36:70,44.434913503383456,26.047763434064816
11:05:37:50,44.43491350338276,26.047776028790505
11:05:38:30,44.43491350338206,26.047788623516194
11:05:39:10,44.43491350338137,26.047801218241883
11:05:39:90,44.43491350338067,26.047813812967572
11:05:40:70,44.43491350337998,26.047826407693265
11:05:41:40,44.434913503379285,26.047839002418954
11:05:42:10,44.434913503378596,26.047851597144643
11:05:42:90,44.43491350337789,26.04786419187033
11:05:43:50,44.4349135033772,26.04787678659602
11:05:44:30,44.434913503376514,26.04788938132171
11:05:44:90,44.43491799998454,26.04788938132171
11:05:48:00,44.434917999983846,26.04790197604837
11:05:49:00,44.4349374999837,26.047903773512555
11:05:51:70,44.43492850676764,26.047903773512555
11:05:52:50,44.43491951355158,26.047903773512555
11:05:53:40,44.434910520335514,26.047903773512555
11:05:54:10,44.43490152711945,26.047903773512555
11:05:54:90,44.43489253390339,26.047903773512555
11:05:55:60,44.43488354068732,26.047903773512555
11:05:56:40,44.43487454747127,26.047903773512555
11:05:57:10,44.43487454747057,26.047916368229846
11:05:57:90,44.434874547469875,26.04792896294714
11:05:58:60,44.434874547469185,26.04794155766443
11:05:59:50,44.43488354068524,26.04794155766443
11:06:00:40,44.4348925339013,26.04794155766443
11:06:01:10,44.43490152711736,26.04794155766443
11:06:01:90,44.43491052033342,26.04794155766443
11:06:02:60,44.434919513549474,26.04794155766443
11:06:03:40,44.43492850676553,26.04794155766443
11:06:04:20,44.43493749998159,26.04794155766443
11:06:04:50,44.43493749998141,26.047935260299
11:06:05:40,44.43493749998072,26.04792266556814
11:06:06:20,44.43493749998002,26.04791007083728
11:06:07:00,44.434937499979846,26.047903773471848
11:06:08:00,44.43493749997967,26.04789747610642
11:06:11:40,44.43493749997897,26.047884881375563
11:06:12:30,44.434941996587,26.047884881375563
11:06:13:00,44.43494199658631,26.04787228664373
11:06:13:90,44.43494199658562,26.0478596919119
11:06:14:60,44.434941996584925,26.04784709718007
11:06:15:50,44.43494199658423,26.04783450244824
11:06:16:10,44.43494199658353,26.047821907716408
11:06:16:90,44.43494199658284,26.04780931298458
11:06:17:50,44.434941996582154,26.047796718252748
11:06:18:30,44.43494199658146,26.047784123520916
11:06:18:70,44.43494199658128,26.047777826155002
11:06:19:00,44.4349419965811,26.04777152878909
11:06:19:70,44.43494199658041,26.047758934057264
11:06:20:00,44.434941996580235,26.04775263669135
11:06:20:40,44.43494199658006,26.047746339325435
11:06:20:70,44.43494199657988,26.04774004195952
11:06:21:10,44.4349419965797,26.047733744593607
11:06:21:80,44.43494199657901,26.047721149861776
11:06:22:50,44.434941996578324,26.047708555129947
11:06:23:10,44.43494199657763,26.047695960398116
11:06:23:60,44.43493749996959,26.047695960398116
11:06:24:50,44.434937499968896,26.047683365667254
11:06:25:90,44.43493749996872,26.047677068301827
11:06:30:00,44.43493749996802,26.04766447357097
11:06:30:90,44.434937499967326,26.047651878840107
11:06:31:70,44.43493749996664,26.04763928410925
11:06:32:70,44.43493749996595,26.04762668937839
11:06:33:50,44.43493749996525,26.04761409464753
11:06:35:10,44.43493749996456,26.04760149991667
12:15:51:60,44.4349375,26.0476015
12:15:53:20,44.4349374999993,26.04761409473086
12:15:54:20,44.434937499998604,26.04762668946172
12:15:55:20,44.434937499997915,26.04763928419258
12:15:56:00,44.434937499997226,26.047651878923443
12:15:56:90,44.43493749999653,26.047664473654304
12:15:59:80,44.43493749999584,26.047677068385166
12:16:01:00,44.43493749999566,26.047683365750597
12:16:03:10,44.434928506779606,26.0476833657506
12:16:04:00,44.43491951356354,26.0476833657506
12:16:04:80,44.43491052034748,26.0476833657506
12:16:05:70,44.43490152713142,26.0476833657506
12:16:06:50,44.43489253391536,26.0476833657506
12:16:07:30,44.4348835406993,26.0476833657506
12:16:08:20,44.43487454748325,26.0476833657506
12:16:09:50,44.43487454748256,26.047695960467895
12:16:10:50,44.43488354069862,26.047695960467895
12:16:11:40,44.43489253391467,26.047695960467895
12:16:12:30,44.434901527130734,26.047695960467895
12:16:13:20,44.434910520346804,26.047695960467895
12:16:14:00,44.43491951356285,26.047695960467895
12:16:14:70,44.43492850677892,26.047695960467895
12:16:15:30,44.43493300338694,26.047695960467895
12:16:16:00,44.43493300338625,26.047708555197786
12:16:16:90,44.43493300338555,26.04772114992768
12:16:17:70,44.43493300338486,26.04773374465757
12:16:18:50,44.434933003384174,26.047746339387462
12:16:19:30,44.43493300338348,26.047758934117354
12:16:20:20,44.43493300338278,26.047771528847246
12:16:21:00,44.434933003382085,26.047784123577138
12:16:21:90,44.434933003381396,26.047796718307026
12:16:22:70,44.434933003380706,26.047809313036918
12:16:23:60,44.43493300338001,26.047821907766807
12:16:24:30,44.434933003379314,26.0478345024967
12:16:25:10,44.43493300337862,26.04784709722659
12:16:25:90,44.43493300337793,26.047859691956482
12:16:26:60,44.43493300337723,26.047872286686374
12:16:27:40,44.43493300337654,26.047884881416262
12:16:29:50,44.434937499984564,26.047884881416262
12:16:33:00,44.434937499983874,26.047897476147124
12:16:34:10,44.4349374999837,26.047903773512555
12:16:36:40,44.43492850676764,26.047903773512555
12:16:37:10,44.43491951355158,26.047903773512555
12:16:38:00,44.434910520335514,26.047903773512555
12:16:38:80,44.43490152711945,26.047903773512555
12:16:39:70,44.43489253390339,26.047903773512555
12:16:40:50,44.43488354068732,26.047903773512555
12:16:41:40,44.43487454747127,26.047903773512555
12:16:42:10,44.43487454747057,26.047916368229846
12:16:43:10,44.434874547469875,26.04792896294714
12:16:44:10,44.434874547469185,26.04794155766443
12:16:44:70,44.43488354068524,26.04794155766443
12:16:45:80,44.4348925339013,26.04794155766443
12:16:46:70,44.43490152711736,26.04794155766443
12:16:47:50,44.43491052033342,26.04794155766443
12:16:48:30,44.434919513549474,26.04794155766443
12:16:49:10,44.43492850676553,26.04794155766443
12:16:50:00,44.43493749998159,26.04794155766443
12:16:50:50,44.43493749998141,26.047935260299
12:16:51:40,44.43493749998072,26.04792266556814
12:16:52:20,44.43493749998002,26.04791007083728
12:16:52:90,44.434937499979846,26.047903773471848
12:16:54:00,44.43493749997967,26.04789747610642
12:16:57:30,44.43493749997897,26.047884881375563
12:16:58:10,44.434941996587,26.047884881375563
12:16:58:90,44.43494199658631,26.04787228664373
12:16:59:80,44.43494199658562,26.0478596919119
12:17:00:60,44.434941996584925,26.04784709718007
12:17:01:40,44.43494199658423,26.04783450244824
12:17:02:30,44.43494199658353,26.047821907716408
12:17:03:30,44.43494199658284,26.04780931298458
12:17:04:40,44.434941996582154,26.047796718252748
12:17:05:10,44.43494199658146,26.047784123520916
12:17:05:70,44.43494199658128,26.047777826155002
12:17:06:20,44.4349419965811,26.04777152878909
12:17:06:90,44.43494199658041,26.047758934057264
12:17:07:50,44.434941996580235,26.04775263669135
12:17:07:90,44.43494199658006,26.047746339325435
12:17:08:30,44.43494199657988,26.04774004195952
12:17:08:80,44.4349419965797,26.047733744593607
12:17:09:80,44.43494199657901,26.047721149861776
12:17:10:70,44.434941996578324,26.047708555129947
12:17:11:20,44.43494199657763,26.047695960398116
12:17:11:70,44.43493749996959,26.047695960398116
12:17:12:30,44.434937499968896,26.047683365667254
12:17:12:80,44.43493749996872,26.047677068301827
12:17:13:50,44.43493749996802,26.04766447357097
12:17:14:60,44.434937499967326,26.047651878840107
12:17:15:20,44.43493749996664,26.04763928410925
12:17:16:30,44.43493749996595,26.04762668937839
12:17:17:10,44.43493749996525,26.04761409464753
12:17:19:00,44.43493749996456,26.04760149991667
13:03:23:30,44.4349375,26.0476015
13:03:25:00,44.43493749999931,26.04761409473086
13:03:26:00,44.43493749999862,26.04762668946172
13:03:26:70,44.434937499997915,26.04763928419258
13:03:27:60,44.434937499997226,26.047651878923443
13:03:28:50,44.43493749999653,26.047664473654304
13:03:31:70,44.43493749999584,26.047677068385166
13:03:32:80,44.43493749999566,26.047683365750597
13:03:35:10,44.434928506779606,26.0476833657506
13:03:35:90,44.43491951356354,26.0476833657506
13:03:36:70,44.43491052034748,26.0476833657506
13:03:37:60,44.43490152713142,26.0476833657506
13:03:38:40,44.43489253391536,26.0476833657506
13:03:39:30,44.4348835406993,26.0476833657506
13:03:40:20,44.43487454748325,26.0476833657506
13:03:42:30,44.43487454748256,26.047695960467895
13:03:43:30,44.43488354069862,26.047695960467895
13:03:44:20,44.43489253391467,26.047695960467895
13:03:45:10,44.434901527130734,26.047695960467895
13:03:46:00,44.434910520346804,26.047695960467895
13:03:46:80,44.43491951356285,26.047695960467895
13:03:47:60,44.43492850677892,26.047695960467895
13:03:48:10,44.43493300338694,26.047695960467895
13:03:48:80,44.43493300338625,26.047708555197786
13:03:49:80,44.43493300338555,26.04772114992768
13:03:50:70,44.43493300338486,26.04773374465757
13:03:51:50,44.434933003384174,26.047746339387462
13:03:52:30,44.43493300338348,26.047758934117354
13:03:53:10,44.43493300338278,26.047771528847246
13:03:53:90,44.434933003382085,26.047784123577138
13:03:54:70,44.434933003381396,26.047796718307026
13:03:55:50,44.434933003380706,26.047809313036918
13:03:56:30,44.43493300338001,26.047821907766807
13:03:57:20,44.43493300337932,26.0478345024967
13:03:58:00,44.43493300337862,26.04784709722659
13:03:58:80,44.43493300337793,26.047859691956482
13:03:59:70,44.43493300337723,26.047872286686374
13:04:00:80,44.43493300337654,26.047884881416262
13:04:02:20,44.434937499984564,26.047884881416262
13:04:05:80,44.434937499983874,26.047897476147124
13:04:07:00,44.4349374999837,26.047903773512555
13:04:09:40,44.43492850676764,26.047903773512555
